Day,Date,Day_since_lockdown,NICE,NICE_new
1,27/02/2020,-14,6,
2,28/02/2020,-13,7,1
3,29/02/2020,-12,8,1
4,01/03/2020,-11,10,2
5,02/03/2020,-10,9,0
6,03/03/2020,-9,10,1
7,04/03/2020,-8,13,3
8,05/03/2020,-7,14,2
9,06/03/2020,-6,17,3
10,07/03/2020,-5,19,3
11,08/03/2020,-4,25,6
12,09/03/2020,-3,30,8
13,10/03/2020,-2,37,10
14,11/03/2020,-1,47,11
15,12/03/2020,0,68,23
16,13/03/2020,1,79,14
17,14/03/2020,2,95,18
18,15/03/2020,3,120,29
19,16/03/2020,4,149,33
20,17/03/2020,5,176,35
21,18/03/2020,6,226,55
22,19/03/2020,7,286,68
23,20/03/2020,8,360,87
24,21/03/2020,9,428,82
25,22/03/2020,10,479,73
26,23/03/2020,11,571,101
27,24/03/2020,12,652,112
28,25/03/2020,13,752,119
29,26/03/2020,14,836,112
30,27/03/2020,15,921,118
31,28/03/2020,16,987,105
32,29/03/2020,17,1037,94
33,30/03/2020,18,1126,133
34,31/03/2020,19,1191,111
35,01/04/2020,20,1208,73
36,02/04/2020,21,1251,99
37,03/04/2020,22,1281,80
38,04/04/2020,23,1282,64
39,05/04/2020,24,1302,75
40,06/04/2020,25,1311,63
41,07/04/2020,26,1316,61
42,08/04/2020,27,1288,62
43,09/04/2020,28,1283,52
44,10/04/2020,29,1288,50
45,11/04/2020,30,1255,29
46,12/04/2020,31,1237,36
47,13/04/2020,32,1224,45
48,14/04/2020,33,1197,36
49,15/04/2020,34,1172,24
50,16/04/2020,35,1141,31
51,17/04/2020,36,1111,26
52,18/04/2020,37,1064,18
53,19/04/2020,38,1034,21
54,20/04/2020,39,1014,28
55,21/04/2020,40,977,23
56,22/04/2020,41,920,14
57,23/04/2020,42,879,16
58,24/04/2020,43,862,18
59,25/04/2020,44,833,15
60,26/04/2020,45,808,12
61,27/04/2020,46,787,17
62,28/04/2020,47,764,15
63,29/04/2020,48,735,12
64,30/04/2020,49,709,17
65,01/05/2020,50,674,9
66,02/05/2020,51,633,9
67,03/05/2020,52,620,11
68,04/05/2020,53,610,13
69,05/05/2020,54,570,4
70,06/05/2020,55,544,6
71,07/05/2020,56,524,12
72,08/05/2020,57,494,8
73,09/05/2020,58,471,6
74,10/05/2020,59,456,7
75,11/05/2020,60,450,8
76,12/05/2020,61,409,4
77,13/05/2020,62,389,4
78,14/05/2020,63,365,8
79,15/05/2020,64,351,5
80,16/05/2020,65,335,9
81,17/05/2020,66,330,6
82,18/05/2020,67,331,9
83,19/05/2020,68,305,4
